,0,1,2,3,4,5,6,7
0,Irrigation by means 2010-2011,,,,,,,
1,(In acre),,,,,,,
2, Upazila,Irrigation management - Power pump,Irrigation management - Tube well,Irrigation management - Doon,Irrigation management - Swing basket,Irrigation management - Canal,Irrigation management - Others, Total
3,Dhaka Metropolitan,14,12,0,0,2340,208,2574
4,Dhamrai,150,48100,0,0,0,0,48250
5,Dohar,130,0,0,0,0,0,130
6,Keraniganj,3357,0,0,0,0,140,3497
7,Nawabganj,2403,26925,0,0,0,0,29328
8,Savar,9275,78,60,50,40,80,9583
9,Total,15329,75115,60,50,2380,428,93362
