,0,1,2,3,4,5
0,Average doctor s fee per patient 2011,,,,,
1,,,,,,
2,(Fee in taka),(Fee in taka),(Fee in taka),(Fee in taka),(Fee in taka),(Fee in taka)
3,Upazila,Doctor,Doctor,Doctor,Doctor,Doctor
4,Upazila,MBBS,FCPS,Dentist,Gynecologist,Homeopathy
5,Azmirigonj,200,300,0,200,20
6,Bahubal,200,200,0,0,0
7,Baniachang,200,0,0,0,0
8,Chunarughat,200,150,0,200,50
9,Habiganj Sadar,300,400,300,400,100
10,Lakhai,150,300,0,0,100
11,Madhabpur,200,500,150,300,50
12,Nabiganj,200,400,50,300,0
13,Average,206,321,167,280,64
