,0,1,2,3,4,5,6,7,8,9
0,"Number of person, institute borrowing money from nationalized bank 2011",,,,,,,,,
1,,,,,,,,,,
2, Upazila,Number of branch of all nationalized bank,Number of borrower - Agriculture debt - Male,Number of borrower - Agriculture debt - Female,Number of borrower - Industry debt - Male,Number of borrower - Industry debt - Female,Number of borrower - Others debt - Male,Number of borrower - Others debt - Female,Number of borrower - Male,Number of borrower - Female
3,Bhola Sadar,7,1336,0,0,0,1744,320,3080,320
4,Burhanuddin,8,10483,200,0,0,768,618,11251,818
5,Char Fasson,5,40088,2885,0,0,1413,2922,41516,5807
6,Daulatkhan,3,2115,89,0,0,231,53,2346,142
7,Lalmohan,4,17728,610,0,0,3015,239,20743,849
8,Manpura,1,668,0,0,0,218,40,88 6,40
9,Tazumuddin,1,7805,0,0,0,379,15,8184,15
10,Total,29,6251279,3784,0,0,7768,4207,87120,7991
