,0,1,2,3,4,5
0,Daily average wage rate of non-agricultural labour 2011,,,,,
1,,,,,,
2,(Wage in taka),(Wage in taka),(Wage in taka),(Wage in taka),(Wage in taka),(Wage in taka)
3,Upazila,Porter (coolee),Garden labour male,Garden female labour,Other labour (Adult),Other labour (Child)
4,Daulotpur,400,0,0,350,0
5,Gheor,250,250,200,200,100
6,Horirampur,350,0,0,300,200
7,Manikganj Sadar,500,300,200,200,150
8,Saturia,350,300,250,300,200
9,Shibalaya,300,0,0,300,150
10,Singair,300,250,150,200,100
11,Average,358,275,200,236,150
