,0,1,2,3,4,5,6,7,8,9,10,11
0,"Number of person, institute borrowing money from nationalized bank 2011",,,,,,,,,,,
1,,,,,,,,,,,,
2, Upazila,Number of branch of all nationalized banks,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower
3, Upazila,Number of branch of all nationalized banks,Agriculture debt,Agriculture debt,Industry debt,Industry debt,Others debt,Others debt,Number of borrower,Number of borrower,Total debt (Crore),Total debt (Crore)
4, Upazila,Number of branch of all nationalized banks,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
5,Chandpur Sadar,18,16847,2373,6,1,1518,184,18371,2558,1950,272
6,Foridganj,6,371,5,0,0,2103,10,2480,15,3.72,3
7,Haimchar,2,706,0,0,0,182,0,888,0,21,0
8,Hajiganj,7,2200,38,80,0,1000,107,3280,145,10.01,0.41
9,Kachua,6,9629,199,0,0,377,478,10050,252,28.29,2.78
10,Matlab Dakshin,5,3931,45,2,0,730,263,4663,308,528,9
11,Matlab uttar,9,3600,300,100,15,1000,2000,4700,2315,40,1.62
12,Shahrasti,7,5215,11,8,0,1009,859,6224,870,17.83,5.15
13,Total,60,42499,2971,196,16,7919,3901,50656,6463,2598.85,290
